z,U_0,U_1,U_2
0,0,0,0
0.000336683,0.0350052,0,-1.8941e-07
0.000673367,0.0695188,0,-6.73403e-07
0.00101005,0.103539,0,-1.49946e-06
0.00134673,0.137065,0,-2.6614e-06
0.00168342,0.170094,0,-4.15191e-06
0.0020201,0.202624,0,-5.96806e-06
0.00235678,0.234654,0,-8.10796e-06
0.00269347,0.266181,0,-1.05692e-05
0.00303015,0.297203,0,-1.33489e-05
0.00336683,0.32772,0,-1.64435e-05
0.00370352,0.357728,0,-1.98493e-05
0.0040402,0.387226,0,-2.35619e-05
0.00437688,0.416213,0,-2.75763e-05
0.00471357,0.444687,0,-3.18871e-05
0.00505025,0.472646,0,-3.64883e-05
0.00538693,0.500088,0,-4.13731e-05
0.00572362,0.527013,0,-4.65344e-05
0.0060603,0.553418,0,-5.19643e-05
0.00639698,0.579303,0,-5.76541e-05
0.00673367,0.604666,0,-6.35947e-05
0.00707035,0.629506,0,-6.97764e-05
0.00740704,0.653822,0,-7.61887e-05
0.00774372,0.677613,0,-8.28203e-05
0.0080804,0.700877,0,-8.96598e-05
0.00841709,0.723615,0,-9.66948e-05
0.00875377,0.745825,0,-0.000103913
0.00909045,0.767507,0,-0.0001113
0.00942714,0.788659,0,-0.000118842
0.00976382,0.809282,0,-0.000126525
0.0101005,0.829376,0,-0.000134335
0.0104372,0.848939,0,-0.000142256
0.0107739,0.867972,0,-0.000150271
0.0111106,0.886474,0,-0.000158366
0.0114472,0.904446,0,-0.000166524
0.0117839,0.921888,0,-0.000174727
0.0121206,0.938799,0,-0.00018296
0.0124573,0.95518,0,-0.000191204
0.012794,0.971032,0,-0.000199444
0.0131307,0.986353,0,-0.000207662
0.0134673,1.00114,0,-0.00021584
0.013804,1.01541,0,-0.000223961
0.0141407,1.02915,0,-0.000232009
0.0144774,1.04236,0,-0.000239965
0.0148141,1.05505,0,-0.000247812
0.0151508,1.0672,0,-0.000255535
0.0154874,1.07884,0,-0.000263116
0.0158241,1.08995,0,-0.000270539
0.0161608,1.10054,0,-0.000277787
0.0164975,1.11061,0,-0.000284847
0.0168342,1.12015,0,-0.000291701
0.0171709,1.12918,0,-0.000298336
0.0175075,1.13769,0,-0.000304736
0.0178442,1.14569,0,-0.000310889
0.0181809,1.15316,0,-0.000316779
0.0185176,1.16012,0,-0.000322395
0.0188543,1.16657,0,-0.000327723
0.019191,1.1725,0,-0.000332752
0.0195276,1.17792,0,-0.000337468
0.0198643,1.18282,0,-0.000341859
0.020201,1.1872,0,-0.00034591
0.0205377,1.19104,0,-0.000349603
0.0208744,1.19433,0,-0.000352913
0.0212111,1.19703,0,-0.000355809
0.0215477,1.19913,0,-0.00035826
0.0218844,1.20061,0,-0.000360262
0.0222211,1.20155,0,-0.000361868
0.0225578,1.20206,0,-0.000363188
0.0228945,1.20231,0,-0.000364341
0.0232312,1.20241,0,-0.000365398
0.0235678,1.20246,0,-0.000366377
0.0239045,1.20248,0,-0.000367292
0.0242412,1.20249,0,-0.000368196
0.0245779,1.2025,0,-0.000369132
0.0249146,1.20251,0,-0.000370083
0.0252513,1.20252,0,-0.000371024
0.0255879,1.20253,0,-0.000371955
0.0259246,1.20254,0,-0.000372883
0.0262613,1.20255,0,-0.000373808
0.026598,1.20256,0,-0.000374729
0.0269347,1.20256,0,-0.000375647
0.0272714,1.20257,0,-0.000376562
0.027608,1.20257,0,-0.000377474
0.0279447,1.20258,0,-0.000378382
0.0282814,1.20258,0,-0.000379288
0.0286181,1.20259,0,-0.00038019
0.0289548,1.20259,0,-0.000381089
0.0292915,1.2026,0,-0.000381985
0.0296281,1.2026,0,-0.000382878
0.0299648,1.2026,0,-0.000383768
0.0303015,1.20261,0,-0.000384655
0.0306382,1.20261,0,-0.000385539
0.0309749,1.20261,0,-0.000386421
0.0313116,1.20261,0,-0.0003873
0.0316482,1.20261,0,-0.000388175
0.0319849,1.20261,0,-0.000389049
0.0323216,1.20261,0,-0.000389932
0.0326583,1.20261,0,-0.000390835
0.032995,1.20261,0,-0.000391666
0.0333317,1.20261,0,-0.000392245
0.0336683,1.16976,0,-0.000393605
0.034005,1.07178,0,-0.000395283
0.0343417,0.944444,0,-0.000394068
0.0346784,0.822591,0,-0.000388695
0.0350151,0.707926,0,-0.000379071
0.0353518,0.601811,0,-0.000365786
0.0356884,0.505229,0,-0.000350713
0.0360251,0.418774,0,-0.000335593
0.0363618,0.342655,0,-0.000321736
0.0366985,0.27673,0,-0.000309905
0.0370352,0.220561,0,-0.000300363
0.0373719,0.173476,0,-0.000293015
0.0377085,0.13464,0,-0.000287565
0.0380452,0.10312,0,-0.000283641
0.0383819,0.0779435,0,-0.000280875
0.0387186,0.0581538,0,-0.000278945
0.0390553,0.0428438,0,-0.000277589
0.039392,0.031186,0,-0.00027661
0.0397286,0.0224483,0,-0.000275865
0.0400653,0.0160015,0,-0.000275252
0.040402,0.0113187,0,-0.000274707
0.0407387,0.00796969,0,-0.000274188
0.0410754,0.00561108,0,-0.000273674
0.0414121,0.003975,0,-0.00027315
0.0417487,0.00285688,0,-0.000272612
0.0420854,0.00210375,0,-0.000272061
0.0424221,0.00160346,0,-0.000271496
0.0427588,0.00127541,0,-0.000270921
0.0430955,0.00106275,0,-0.000270339
0.0434322,0.000926154,0,-0.00026975
0.0437688,0.000838889,0,-0.000269158
0.0441055,0.000783116,0,-0.000268564
0.0444422,0.000747137,0,-0.00026797
0.0447789,0.000723412,0,-0.000267375
0.0451156,0.000707164,0,-0.000266781
0.0454523,0.00069542,0,-0.000266188
0.0457889,0.000686354,0,-0.000265597
0.0461256,0.000678866,0,-0.000265007
0.0464623,0.000672305,0,-0.000264419
0.046799,0.000666289,0,-0.000263832
0.0471357,0.000660599,0,-0.000263248
0.0474724,0.00065511,0,-0.000262666
0.047809,0.000649753,0,-0.000262086
0.0481457,0.00064449,0,-0.000261508
0.0484824,0.0006393,0,-0.000260933
0.0488191,0.00063417,0,-0.00026036
0.0491558,0.000629094,0,-0.000259789
0.0494925,0.000624069,0,-0.00025922
0.0498291,0.000619094,0,-0.000258654
0.0501658,0.000614165,0,-0.00025809
0.0505025,0.000609283,0,-0.000257529
0.0508392,0.000604447,0,-0.00025697
0.0511759,0.000599656,0,-0.000256414
0.0515126,0.00059491,0,-0.00025586
0.0518492,0.000590207,0,-0.000255309
0.0521859,0.000585548,0,-0.00025476
0.0525226,0.000580932,0,-0.000254214
0.0528593,0.000576358,0,-0.00025367
0.053196,0.000571826,0,-0.000253129
0.0535327,0.000567335,0,-0.00025259
0.0538693,0.000562886,0,-0.000252054
0.054206,0.000558476,0,-0.000251521
0.0545427,0.000554107,0,-0.00025099
0.0548794,0.000549777,0,-0.000250461
0.0552161,0.000545486,0,-0.000249936
0.0555528,0.000541233,0,-0.000249412
0.0558894,0.000537019,0,-0.000248891
0.0562261,0.000532842,0,-0.000248373
0.0565628,0.000528702,0,-0.000247858
0.0568995,0.000524599,0,-0.000247344
0.0572362,0.000520532,0,-0.000246834
0.0575729,0.000516502,0,-0.000246326
0.0579095,0.000512506,0,-0.00024582
0.0582462,0.000508545,0,-0.000245317
0.0585829,0.000504619,0,-0.000244817
0.0589196,0.000500726,0,-0.000244319
0.0592563,0.000496865,0,-0.000243823
0.059593,0.000493037,0,-0.00024333
0.0599296,0.00048924,0,-0.00024284
0.0602663,0.000485473,0,-0.000242352
0.060603,0.000481734,0,-0.000241866
0.0609397,0.000478022,0,-0.000241383
0.0612764,0.000474334,0,-0.000240902
0.0616131,0.000470669,0,-0.000240424
0.0619497,0.000467024,0,-0.000239947
0.0622864,0.000463396,0,-0.000239474
0.0626231,0.00045978,0,-0.000239002
0.0629598,0.000456174,0,-0.000238533
0.0632965,0.000452574,0,-0.000238067
0.0636332,0.000448975,0,-0.000237602
0.0639698,0.000445374,0,-0.000237141
0.0643065,0.000441766,0,-0.000236681
0.0646432,0.000438149,0,-0.000236224
0.0649799,0.000434521,0,-0.000235769
0.0653166,0.000430879,0,-0.000235316
0.0656533,0.000427226,0,-0.000234865
0.0659899,0.000423562,0,-0.000234417
0.0663266,0.000419896,0,-0.000233973
0.0666633,0.000416238,0,-0.000233528
0.067,0.000386932,0,-0.000229574
