# Wall shear stress
# Time        	patch         	min           	max           
0.000000e+00	lowerWall	(-4.193242e+00 0.000000e+00 0.000000e+00)	(-4.193242e+00 0.000000e+00 0.000000e+00)
1.000000e+01	lowerWall	(-2.060044e+00 0.000000e+00 -6.395945e-03)	(-1.984917e+00 0.000000e+00 6.247583e-03)
2.000000e+01	lowerWall	(-1.333447e+00 0.000000e+00 -2.631349e-03)	(-1.305710e+00 0.000000e+00 2.621883e-03)
3.000000e+01	lowerWall	(-1.038436e+00 0.000000e+00 -1.589732e-03)	(-1.024492e+00 0.000000e+00 1.611609e-03)
4.000000e+01	lowerWall	(-8.805935e-01 0.000000e+00 -1.144999e-03)	(-8.682817e-01 0.000000e+00 1.173557e-03)
5.000000e+01	lowerWall	(-7.793929e-01 0.000000e+00 -9.102810e-04)	(-7.676391e-01 0.000000e+00 9.385585e-04)
6.000000e+01	lowerWall	(-7.072437e-01 0.000000e+00 -7.642837e-04)	(-6.963123e-01 0.000000e+00 7.890851e-04)
7.000000e+01	lowerWall	(-6.533731e-01 0.000000e+00 -6.645313e-04)	(-6.422478e-01 0.000000e+00 6.841339e-04)
8.000000e+01	lowerWall	(-6.106346e-01 0.000000e+00 -5.905982e-04)	(-5.993054e-01 0.000000e+00 6.053068e-04)
9.000000e+01	lowerWall	(-5.755614e-01 0.000000e+00 -5.325904e-04)	(-5.640533e-01 0.000000e+00 5.434558e-04)
1.000000e+02	lowerWall	(-5.460830e-01 0.000000e+00 -4.854066e-04)	(-5.343892e-01 0.000000e+00 4.931876e-04)
1.100000e+02	lowerWall	(-5.208447e-01 0.000000e+00 -4.459042e-04)	(-5.089418e-01 0.000000e+00 4.511632e-04)
1.200000e+02	lowerWall	(-4.989219e-01 0.000000e+00 -4.121065e-04)	(-4.867865e-01 0.000000e+00 4.155206e-04)
1.300000e+02	lowerWall	(-4.796456e-01 0.000000e+00 -3.826855e-04)	(-4.672855e-01 0.000000e+00 3.848743e-04)
1.400000e+02	lowerWall	(-4.625167e-01 0.000000e+00 -3.568791e-04)	(-4.499620e-01 0.000000e+00 3.581795e-04)
1.500000e+02	lowerWall	(-4.471607e-01 0.000000e+00 -3.340172e-04)	(-4.344561e-01 0.000000e+00 3.345083e-04)
1.600000e+02	lowerWall	(-4.332922e-01 0.000000e+00 -3.136505e-04)	(-4.204851e-01 0.000000e+00 3.132686e-04)
1.700000e+02	lowerWall	(-4.206926e-01 0.000000e+00 -2.953580e-04)	(-4.078218e-01 0.000000e+00 2.940513e-04)
1.800000e+02	lowerWall	(-4.091704e-01 0.000000e+00 -2.789425e-04)	(-3.962769e-01 0.000000e+00 2.767423e-04)
1.900000e+02	lowerWall	(-3.985851e-01 0.000000e+00 -2.640615e-04)	(-3.857030e-01 0.000000e+00 2.611369e-04)
2.000000e+02	lowerWall	(-3.888205e-01 0.000000e+00 -2.503780e-04)	(-3.759833e-01 0.000000e+00 2.469782e-04)
2.100000e+02	lowerWall	(-3.797785e-01 0.000000e+00 -2.378104e-04)	(-3.670173e-01 0.000000e+00 2.341463e-04)
2.200000e+02	lowerWall	(-3.713749e-01 0.000000e+00 -2.262473e-04)	(-3.587167e-01 0.000000e+00 2.225057e-04)
2.300000e+02	lowerWall	(-3.635393e-01 0.000000e+00 -2.155980e-04)	(-3.510055e-01 0.000000e+00 2.118869e-04)
2.400000e+02	lowerWall	(-3.562112e-01 0.000000e+00 -2.057773e-04)	(-3.438178e-01 0.000000e+00 2.021628e-04)
2.500000e+02	lowerWall	(-3.493383e-01 0.000000e+00 -1.967060e-04)	(-3.370965e-01 0.000000e+00 1.932226e-04)
2.600000e+02	lowerWall	(-3.428762e-01 0.000000e+00 -1.883103e-04)	(-3.307926e-01 0.000000e+00 1.849644e-04)
2.700000e+02	lowerWall	(-3.367856e-01 0.000000e+00 -1.805256e-04)	(-3.248638e-01 0.000000e+00 1.773083e-04)
2.800000e+02	lowerWall	(-3.310328e-01 0.000000e+00 -1.732905e-04)	(-3.192736e-01 0.000000e+00 1.701965e-04)
2.900000e+02	lowerWall	(-3.255880e-01 0.000000e+00 -1.665495e-04)	(-3.139905e-01 0.000000e+00 1.635698e-04)
3.000000e+02	lowerWall	(-3.204245e-01 0.000000e+00 -1.602510e-04)	(-3.089862e-01 0.000000e+00 1.573771e-04)
3.100000e+02	lowerWall	(-3.155188e-01 0.000000e+00 -1.543791e-04)	(-3.042070e-01 0.000000e+00 1.516090e-04)
3.200000e+02	lowerWall	(-3.108505e-01 0.000000e+00 -1.488652e-04)	(-2.996654e-01 0.000000e+00 1.461844e-04)
3.300000e+02	lowerWall	(-3.064009e-01 0.000000e+00 -1.436724e-04)	(-2.953430e-01 0.000000e+00 1.410732e-04)
3.400000e+02	lowerWall	(-3.021533e-01 0.000000e+00 -1.387838e-04)	(-2.912223e-01 0.000000e+00 1.362665e-04)
3.500000e+02	lowerWall	(-2.980934e-01 0.000000e+00 -1.341666e-04)	(-2.872888e-01 0.000000e+00 1.317363e-04)
3.600000e+02	lowerWall	(-2.942078e-01 0.000000e+00 -1.298103e-04)	(-2.835296e-01 0.000000e+00 1.274374e-04)
3.700000e+02	lowerWall	(-2.904843e-01 0.000000e+00 -1.256267e-04)	(-2.799353e-01 0.000000e+00 1.233907e-04)
3.800000e+02	lowerWall	(-2.869121e-01 0.000000e+00 -1.216983e-04)	(-2.764933e-01 0.000000e+00 1.195422e-04)
3.900000e+02	lowerWall	(-2.834813e-01 0.000000e+00 -1.179849e-04)	(-2.731908e-01 0.000000e+00 1.158933e-04)
4.000000e+02	lowerWall	(-2.801835e-01 0.000000e+00 -1.144312e-04)	(-2.700234e-01 0.000000e+00 1.124219e-04)
4.100000e+02	lowerWall	(-2.770098e-01 0.000000e+00 -1.110932e-04)	(-2.669761e-01 0.000000e+00 1.090851e-04)
4.200000e+02	lowerWall	(-2.739533e-01 0.000000e+00 -1.078914e-04)	(-2.640472e-01 0.000000e+00 1.058985e-04)
4.300000e+02	lowerWall	(-2.709984e-01 0.000000e+00 -1.049500e-04)	(-2.612149e-01 0.000000e+00 1.029549e-04)
4.400000e+02	lowerWall	(-2.681516e-01 0.000000e+00 -1.020513e-04)	(-2.584905e-01 0.000000e+00 1.000395e-04)
4.500000e+02	lowerWall	(-2.654043e-01 0.000000e+00 -9.929395e-05)	(-2.558642e-01 0.000000e+00 9.729924e-05)
