# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (-1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.797000e-01
# lRef        : 3.350000e-01
# Aref        : 1.120000e-02
# CofR        : (3.350000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	-3.631450e+00	-1.074153e+02	-1.089421e+01	-9.078557e+00	-1.815657e+00
1             	-3.969671e+00	-9.781212e+01	-8.168429e+00	-8.053886e+00	-1.145432e-01
2             	-3.989703e+00	-8.946608e+01	-8.118389e+00	-8.048898e+00	-6.949168e-02
3             	-3.990190e+00	-8.218245e+01	-8.088227e+00	-8.034304e+00	-5.392373e-02
4             	-3.988639e+00	-7.582460e+01	-8.069234e+00	-8.023256e+00	-4.597792e-02
5             	-3.988802e+00	-7.026077e+01	-8.052861e+00	-8.015233e+00	-3.762793e-02
6             	-3.992220e+00	-6.537889e+01	-8.044221e+00	-8.014330e+00	-2.989106e-02
7             	-3.998654e+00	-6.108362e+01	-8.042223e+00	-8.019765e+00	-2.245800e-02
8             	-4.002111e+00	-5.729374e+01	-8.039546e+00	-8.021884e+00	-1.766158e-02
9             	-4.011586e+00	-5.394000e+01	-8.047919e+00	-8.035545e+00	-1.237392e-02
10            	-4.020864e+00	-5.096332e+01	-8.059130e+00	-8.050429e+00	-8.700792e-03
11            	-4.028239e+00	-4.831321e+01	-8.070807e+00	-8.063642e+00	-7.164501e-03
12            	-4.034725e+00	-4.594648e+01	-8.082342e+00	-8.075896e+00	-6.445538e-03
13            	-4.040181e+00	-4.382617e+01	-8.092926e+00	-8.086643e+00	-6.282203e-03
14            	-4.044532e+00	-4.192056e+01	-8.101987e+00	-8.095526e+00	-6.461502e-03
15            	-4.047771e+00	-4.020242e+01	-8.109210e+00	-8.102376e+00	-6.834027e-03
16            	-4.049799e+00	-3.864833e+01	-8.114332e+00	-8.106965e+00	-7.366980e-03
17            	-4.050589e+00	-3.723815e+01	-8.117644e+00	-8.109411e+00	-8.233137e-03
18            	-4.050701e+00	-3.595448e+01	-8.119572e+00	-8.110487e+00	-9.085224e-03
19            	-4.050420e+00	-3.478230e+01	-8.120257e+00	-8.110548e+00	-9.708634e-03
20            	-4.049963e+00	-3.370861e+01	-8.120050e+00	-8.109988e+00	-1.006215e-02
21            	-4.049469e+00	-3.272216e+01	-8.119261e+00	-8.109099e+00	-1.016149e-02
22            	-4.049029e+00	-3.181317e+01	-8.118165e+00	-8.108112e+00	-1.005300e-02
23            	-4.048698e+00	-3.097314e+01	-8.116986e+00	-8.107191e+00	-9.794890e-03
24            	-4.048501e+00	-3.019464e+01	-8.115893e+00	-8.106447e+00	-9.445547e-03
25            	-4.048222e+00	-2.947121e+01	-8.114840e+00	-8.105642e+00	-9.197841e-03
26            	-4.047982e+00	-2.879719e+01	-8.114167e+00	-8.105066e+00	-9.101313e-03
27            	-4.047888e+00	-2.816761e+01	-8.113802e+00	-8.104789e+00	-9.012471e-03
28            	-4.047964e+00	-2.757811e+01	-8.113720e+00	-8.104824e+00	-8.896406e-03
29            	-4.048192e+00	-2.702486e+01	-8.113880e+00	-8.105132e+00	-8.748672e-03
30            	-4.048533e+00	-2.650447e+01	-8.114223e+00	-8.105645e+00	-8.577803e-03
31            	-4.048944e+00	-2.601395e+01	-8.114683e+00	-8.106286e+00	-8.396981e-03
32            	-4.049382e+00	-2.555064e+01	-8.115201e+00	-8.106983e+00	-8.218460e-03
33            	-4.049810e+00	-2.511219e+01	-8.115725e+00	-8.107673e+00	-8.051938e-03
34            	-4.050207e+00	-2.469650e+01	-8.116217e+00	-8.108316e+00	-7.901583e-03
35            	-4.050464e+00	-2.430171e+01	-8.116554e+00	-8.108741e+00	-7.812963e-03
36            	-4.050539e+00	-2.392613e+01	-8.116801e+00	-8.108939e+00	-7.861833e-03
37            	-4.050585e+00	-2.356827e+01	-8.117087e+00	-8.109128e+00	-7.959133e-03
