# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (-1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.797000e-01
# lRef        : 3.350000e-01
# Aref        : 1.120000e-02
# CofR        : (3.350000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	-3.631416e+00	-2.141771e+02	-1.089421e+01	-9.078522e+00	-1.815691e+00
1             	-3.529044e+01	-1.603330e+02	-8.427340e+00	-3.950411e+01	3.107677e+01
2             	2.085978e+01	-1.240046e+02	-8.066409e+00	1.682658e+01	-2.489298e+01
3             	2.148356e+01	-9.998795e+01	-7.848927e+00	1.755909e+01	-2.540802e+01
4             	1.968029e+01	-8.369857e+01	-7.698339e+00	1.583112e+01	-2.352946e+01
5             	1.711592e+01	-7.229749e+01	-7.630397e+00	1.330072e+01	-2.093112e+01
6             	1.482113e+01	-6.405606e+01	-7.585112e+00	1.102858e+01	-1.861369e+01
7             	1.256120e+01	-5.790106e+01	-7.447328e+00	8.837532e+00	-1.628486e+01
8             	1.060001e+01	-5.316248e+01	-7.462243e+00	6.868890e+00	-1.433113e+01
9             	9.385771e+00	-4.940597e+01	-7.451389e+00	5.660076e+00	-1.311147e+01
10            	8.118270e+00	-4.635072e+01	-7.488430e+00	4.374055e+00	-1.186249e+01
11            	7.074083e+00	-4.381139e+01	-7.526929e+00	3.310619e+00	-1.083755e+01
12            	6.349729e+00	-4.165939e+01	-7.550624e+00	2.574417e+00	-1.012504e+01
13            	5.753156e+00	-3.980520e+01	-7.547223e+00	1.979544e+00	-9.526767e+00
14            	5.207159e+00	-3.818623e+01	-7.543931e+00	1.435194e+00	-8.979125e+00
15            	4.729673e+00	-3.675634e+01	-7.569284e+00	9.450307e-01	-8.514315e+00
16            	4.372262e+00	-3.548057e+01	-7.571215e+00	5.866550e-01	-8.157870e+00
17            	4.078538e+00	-3.433263e+01	-7.550035e+00	3.035208e-01	-7.853556e+00
18            	3.785097e+00	-3.329247e+01	-7.550745e+00	9.724740e-03	-7.560470e+00
19            	3.518009e+00	-3.234406e+01	-7.561797e+00	-2.628895e-01	-7.298908e+00
20            	3.315654e+00	-3.147437e+01	-7.549919e+00	-4.593053e-01	-7.090613e+00
21            	3.136651e+00	-3.067291e+01	-7.545255e+00	-6.359766e-01	-6.909279e+00
22            	2.968893e+00	-2.993119e+01	-7.541469e+00	-8.018419e-01	-6.739627e+00
23            	2.811428e+00	-2.924215e+01	-7.540435e+00	-9.587897e-01	-6.581645e+00
24            	2.667014e+00	-2.859979e+01	-7.543895e+00	-1.104934e+00	-6.438962e+00
25            	2.546187e+00	-2.799894e+01	-7.544894e+00	-1.226260e+00	-6.318634e+00
26            	2.443705e+00	-2.743529e+01	-7.539446e+00	-1.326018e+00	-6.213429e+00
27            	2.347270e+00	-2.690516e+01	-7.534928e+00	-1.420194e+00	-6.114734e+00
28            	2.248303e+00	-2.640538e+01	-7.541740e+00	-1.522567e+00	-6.019173e+00
29            	2.158713e+00	-2.593312e+01	-7.547474e+00	-1.615024e+00	-5.932450e+00
30            	2.090825e+00	-2.548589e+01	-7.539669e+00	-1.679009e+00	-5.860659e+00
31            	2.028382e+00	-2.506155e+01	-7.534076e+00	-1.738656e+00	-5.795420e+00
32            	1.963222e+00	-2.465823e+01	-7.537444e+00	-1.805500e+00	-5.731944e+00
33            	1.900367e+00	-2.427425e+01	-7.543874e+00	-1.871570e+00	-5.672303e+00
34            	1.850678e+00	-2.390808e+01	-7.540280e+00	-1.919463e+00	-5.620818e+00
35            	1.805048e+00	-2.355838e+01	-7.536450e+00	-1.963177e+00	-5.573273e+00
36            	1.762607e+00	-2.322395e+01	-7.533767e+00	-2.004276e+00	-5.529491e+00
37            	1.720746e+00	-2.290371e+01	-7.533172e+00	-2.045840e+00	-5.487332e+00
38            	1.686317e+00	-2.259667e+01	-7.527973e+00	-2.077670e+00	-5.450303e+00
39            	1.654012e+00	-2.230195e+01	-7.526910e+00	-2.109443e+00	-5.417467e+00
40            	1.623267e+00	-2.201873e+01	-7.527522e+00	-2.140494e+00	-5.387028e+00
41            	1.595018e+00	-2.174629e+01	-7.525568e+00	-2.167766e+00	-5.357802e+00
42            	1.571810e+00	-2.148395e+01	-7.518408e+00	-2.187394e+00	-5.331014e+00
43            	1.550228e+00	-2.123110e+01	-7.513137e+00	-2.206341e+00	-5.306796e+00
44            	1.528424e+00	-2.098719e+01	-7.512649e+00	-2.227901e+00	-5.284748e+00
45            	1.507940e+00	-2.075168e+01	-7.514783e+00	-2.249451e+00	-5.265332e+00
46            	1.491197e+00	-2.052410e+01	-7.513755e+00	-2.265681e+00	-5.248074e+00
47            	1.479057e+00	-2.030402e+01	-7.505718e+00	-2.273802e+00	-5.231916e+00
48            	1.465808e+00	-2.009103e+01	-7.500314e+00	-2.284349e+00	-5.215965e+00
