# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (-1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.797000e-01
# lRef        : 3.350000e-01
# Aref        : 1.120000e-02
# CofR        : (3.350000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	-3.632131e+00	-2.734303e+01	-1.089421e+01	-9.079237e+00	-1.814976e+00
1             	-4.125687e+00	-2.717862e+01	-8.133801e+00	-8.192587e+00	5.878646e-02
2             	-1.917005e+00	-2.700963e+01	-8.136473e+00	-5.985242e+00	-2.151231e+00
3             	-1.473754e+00	-2.683981e+01	-8.133263e+00	-5.540386e+00	-2.592878e+00
4             	-1.307487e+00	-2.667142e+01	-8.118617e+00	-5.366796e+00	-2.751822e+00
5             	-1.367937e+00	-2.650471e+01	-8.116215e+00	-5.426045e+00	-2.690170e+00
6             	-1.487984e+00	-2.633971e+01	-8.115143e+00	-5.545555e+00	-2.569588e+00
7             	-1.596130e+00	-2.617639e+01	-8.110441e+00	-5.651350e+00	-2.459091e+00
8             	-1.706957e+00	-2.601472e+01	-8.110878e+00	-5.762396e+00	-2.348482e+00
9             	-1.811356e+00	-2.585468e+01	-8.111303e+00	-5.867008e+00	-2.244295e+00
10            	-1.907341e+00	-2.569624e+01	-8.110667e+00	-5.962674e+00	-2.147992e+00
11            	-1.996103e+00	-2.553940e+01	-8.111202e+00	-6.051705e+00	-2.059498e+00
12            	-2.052184e+00	-2.538413e+01	-8.114837e+00	-6.109602e+00	-2.005235e+00
13            	-2.061302e+00	-2.523040e+01	-8.120622e+00	-6.121613e+00	-1.999010e+00
14            	-2.039421e+00	-2.507813e+01	-8.121138e+00	-6.099990e+00	-2.021148e+00
15            	-2.015745e+00	-2.492730e+01	-8.118814e+00	-6.075153e+00	-2.043662e+00
16            	-2.012840e+00	-2.477790e+01	-8.115380e+00	-6.070530e+00	-2.044851e+00
17            	-2.028084e+00	-2.462993e+01	-8.111673e+00	-6.083920e+00	-2.027753e+00
18            	-2.056702e+00	-2.448338e+01	-8.108615e+00	-6.111009e+00	-1.997606e+00
19            	-2.092499e+00	-2.433825e+01	-8.106045e+00	-6.145522e+00	-1.960523e+00
20            	-2.133144e+00	-2.419452e+01	-8.099611e+00	-6.182949e+00	-1.916662e+00
21            	-2.175546e+00	-2.405217e+01	-8.096827e+00	-6.223959e+00	-1.872868e+00
22            	-2.221736e+00	-2.391120e+01	-8.093192e+00	-6.268332e+00	-1.824860e+00
23            	-2.271221e+00	-2.377161e+01	-8.092287e+00	-6.317364e+00	-1.774923e+00
24            	-2.317114e+00	-2.363338e+01	-8.091226e+00	-6.362727e+00	-1.728500e+00
25            	-2.359407e+00	-2.349648e+01	-8.090778e+00	-6.404796e+00	-1.685982e+00
26            	-2.396875e+00	-2.336091e+01	-8.090436e+00	-6.442093e+00	-1.648343e+00
27            	-2.429325e+00	-2.322665e+01	-8.090423e+00	-6.474536e+00	-1.615887e+00
28            	-2.456338e+00	-2.309367e+01	-8.090654e+00	-6.501665e+00	-1.588989e+00
29            	-2.478110e+00	-2.296195e+01	-8.090522e+00	-6.523371e+00	-1.567151e+00
30            	-2.495584e+00	-2.283149e+01	-8.089893e+00	-6.540531e+00	-1.549363e+00
31            	-2.509987e+00	-2.270227e+01	-8.088815e+00	-6.554395e+00	-1.534421e+00
32            	-2.522402e+00	-2.257426e+01	-8.087641e+00	-6.566223e+00	-1.521418e+00
33            	-2.530567e+00	-2.244746e+01	-8.092419e+00	-6.576777e+00	-1.515642e+00
34            	-2.542017e+00	-2.232185e+01	-8.090512e+00	-6.587273e+00	-1.503239e+00
35            	-2.552854e+00	-2.219741e+01	-8.089227e+00	-6.597468e+00	-1.491759e+00
36            	-2.563778e+00	-2.207415e+01	-8.088030e+00	-6.607793e+00	-1.480237e+00
37            	-2.574559e+00	-2.195203e+01	-8.086673e+00	-6.617896e+00	-1.468777e+00
38            	-2.585475e+00	-2.183106e+01	-8.085521e+00	-6.628235e+00	-1.457286e+00
39            	-2.596279e+00	-2.171122e+01	-8.084568e+00	-6.638563e+00	-1.446004e+00
40            	-2.606769e+00	-2.159250e+01	-8.083690e+00	-6.648614e+00	-1.435076e+00
41            	-2.616866e+00	-2.147488e+01	-8.082836e+00	-6.658284e+00	-1.424552e+00
42            	-2.626573e+00	-2.135835e+01	-8.082085e+00	-6.667616e+00	-1.414469e+00
43            	-2.635889e+00	-2.124290e+01	-8.081419e+00	-6.676599e+00	-1.404821e+00
44            	-2.644784e+00	-2.112853e+01	-8.080781e+00	-6.685175e+00	-1.395607e+00
45            	-2.653203e+00	-2.101521e+01	-8.080182e+00	-6.693294e+00	-1.386888e+00
46            	-2.661276e+00	-2.090294e+01	-8.079424e+00	-6.700988e+00	-1.378436e+00
47            	-2.669001e+00	-2.079170e+01	-8.078755e+00	-6.708379e+00	-1.370377e+00
48            	-2.676406e+00	-2.068149e+01	-8.078190e+00	-6.715501e+00	-1.362689e+00
49            	-2.683466e+00	-2.057229e+01	-8.077569e+00	-6.722251e+00	-1.355318e+00
50            	-2.690192e+00	-2.046409e+01	-8.076896e+00	-6.728640e+00	-1.348256e+00
51            	-2.696652e+00	-2.035689e+01	-8.076158e+00	-6.734731e+00	-1.341427e+00
52            	-2.702912e+00	-2.025066e+01	-8.075428e+00	-6.740626e+00	-1.334802e+00
53            	-2.708970e+00	-2.014541e+01	-8.074685e+00	-6.746313e+00	-1.328373e+00
54            	-2.714850e+00	-2.004112e+01	-8.073957e+00	-6.751829e+00	-1.322128e+00
