z,p_rgh,alpha.concrete,nu1
0,-168.124,1,0.000805912
0.00136735,-168.123,1,0.00081897
0.00273469,-168.124,1,0.000834017
0.00410204,-168.124,1,0.000851942
0.00546939,-168.124,1,0.000873496
0.00683673,-168.124,1,0.000899636
0.00820408,-168.124,1,0.000931658
0.00957143,-168.125,1,0.000971379
0.0109388,-168.125,1,0.00102145
0.0123061,-168.125,1,0.00108594
0.0136735,-168.126,1,0.00117154
0.0150408,-168.126,1,0.00129012
0.0164082,-168.127,1,0.00146464
0.0177755,-168.128,1,0.00174199
0.0191429,-168.128,1,0.00221371
0.0205102,-168.129,1,0.00300505
0.0218776,-168.129,1,0.0040274
0.0232449,-168.13,1,0.00475705
0.0246122,-168.131,1,0.004958
0.0259796,-168.131,1,0.004958
0.0273469,-168.131,1,0.004958
0.0287143,-168.132,1,0.004958
0.0300816,-168.132,1,0.004958
0.031449,-168.133,1,0.004958
0.0328163,-126.958,0.755102,0.00391253
0.0341837,-41.1755,0.244898,0.00172401
0.035551,3.3686e-05,0,0.000670986
0.0369184,3.26483e-05,0,0.000731614
0.0382857,3.1076e-05,0,0.000990478
0.0396531,2.91645e-05,0,0.00202904
0.0410204,2.72598e-05,0,0.00371365
0.0423878,2.54878e-05,0,0.0047516
0.0437551,2.37777e-05,0,0.004958
0.0451224,2.21887e-05,0,0.004958
0.0464898,2.06935e-05,0,0.004958
0.0478571,1.93096e-05,0,0.004958
0.0492245,1.80051e-05,0,0.004958
0.0505918,1.67994e-05,0,0.004958
0.0519592,1.5667e-05,0,0.004958
0.0533265,1.46149e-05,0,0.004958
0.0546939,1.36341e-05,0,0.004958
0.0560612,1.272e-05,0,0.004958
0.0574286,1.18689e-05,0,0.004958
0.0587959,1.10767e-05,0,0.004958
0.0601633,1.03393e-05,0,0.004958
0.0615306,9.65308e-06,0,0.004958
0.062898,9.01493e-06,0,0.004958
0.0642653,8.4215e-06,0,0.004958
0.0656327,7.87255e-06,0,0.004958
0.067,6.60644e-06,0,0.004958
