# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (-1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.797000e-01
# lRef        : 3.350000e-01
# Aref        : 1.120000e-02
# CofR        : (3.350000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	-3.632131e+00	-1.197808e+00	-1.089421e+01	-9.079237e+00	-1.814976e+00
1             	-4.008126e+00	-1.190677e+00	-8.133810e+00	-8.075031e+00	-5.877858e-02
2             	-4.056778e+00	-1.183838e+00	-8.133290e+00	-8.123423e+00	-9.866782e-03
3             	-4.090080e+00	-1.177186e+00	-8.133243e+00	-8.156701e+00	2.345805e-02
4             	-4.096045e+00	-1.170706e+00	-8.133179e+00	-8.162634e+00	2.945526e-02
5             	-4.085311e+00	-1.164384e+00	-8.133192e+00	-8.151907e+00	1.871476e-02
6             	-4.070894e+00	-1.158212e+00	-8.133323e+00	-8.137555e+00	4.232657e-03
7             	-4.062538e+00	-1.152192e+00	-8.133376e+00	-8.129226e+00	-4.149635e-03
8             	-4.058072e+00	-1.146314e+00	-8.133374e+00	-8.124759e+00	-8.614780e-03
9             	-4.058575e+00	-1.140577e+00	-8.133366e+00	-8.125258e+00	-8.108191e-03
10            	-4.061862e+00	-1.134981e+00	-8.133342e+00	-8.128532e+00	-4.809189e-03
11            	-4.066123e+00	-1.129521e+00	-8.133308e+00	-8.132777e+00	-5.311881e-04
12            	-4.067099e+00	-1.124190e+00	-8.133320e+00	-8.133759e+00	4.386561e-04
13            	-4.067836e+00	-1.118983e+00	-8.133334e+00	-8.134503e+00	1.169257e-03
14            	-4.067039e+00	-1.113897e+00	-8.133336e+00	-8.133707e+00	3.708442e-04
15            	-4.066383e+00	-1.108926e+00	-8.133346e+00	-8.133056e+00	-2.904366e-04
