z,U_0,U_1,U_2
0,-7.74938e-17,0,4.55603e-27
0.00136735,0.0223593,0,-1.83854e-12
0.00273469,0.0244707,0,-3.52677e-12
0.00410204,0.0247408,0,-5.24704e-12
0.00546939,0.0247763,0,-6.99444e-12
0.00683673,0.0247802,0,-8.82911e-12
0.00820408,0.0247806,0,-1.06733e-11
0.00957143,0.0247806,0,-1.25329e-11
0.0109388,0.0247806,0,-1.44138e-11
0.0123061,0.0247806,0,-1.63218e-11
0.0136735,0.0247806,0,-1.82629e-11
0.0150408,0.0247806,0,-2.02551e-11
0.0164082,0.0247806,0,-2.23392e-11
0.0177755,0.0247806,0,-2.49063e-11
0.0191429,0.0247806,0,-1.91184e-11
0.0205102,0.0247806,0,-3.49088e-11
0.0218776,0.0247806,0,-2.34265e-11
0.0232449,0.0247806,0,-3.51004e-11
0.0246122,0.0247806,0,-4.07867e-11
0.0259796,0.0247806,0,-1.77827e-12
0.0273469,0.0247806,0,-1.15857e-10
0.0287143,0.0247804,0,8.58732e-11
0.0300816,0.0247794,0,-1.97236e-10
0.031449,0.0247759,0,2.447e-10
0.0328163,0.0247708,0,-4.10907e-09
0.0341837,0.0184581,0,2.54466e-08
0.035551,0.00582974,0,-1.5577e-08
0.0369184,9.06566e-06,0,-1.79535e-08
0.0382857,2.26589e-06,0,2.12695e-08
0.0396531,2.25854e-06,0,-1.98751e-08
0.0410204,2.25651e-06,0,1.02878e-08
0.0423878,2.25349e-06,0,-6.91526e-09
0.0437551,2.24984e-06,0,-7.87384e-10
0.0451224,2.24569e-06,0,-3.70988e-09
0.0464898,2.24052e-06,0,-3.86543e-09
0.0478571,2.23508e-06,0,-2.39672e-09
0.0492245,2.22903e-06,0,-3.86733e-09
0.0505918,2.22237e-06,0,-4.2349e-09
0.0519592,2.21512e-06,0,-4.62207e-09
0.0533265,2.20727e-06,0,-5.00685e-09
0.0546939,2.19883e-06,0,-5.3886e-09
0.0560612,2.18981e-06,0,-5.76662e-09
0.0574286,2.18021e-06,0,-6.14014e-09
0.0587959,2.17004e-06,0,-6.50809e-09
0.0601633,2.15929e-06,0,-6.86915e-09
0.0615306,2.14799e-06,0,-7.22155e-09
0.062898,2.13613e-06,0,-7.56961e-09
0.0642653,2.12372e-06,0,-7.9218e-09
0.0656327,2.11077e-06,0,-8.24888e-09
0.067,2.07598e-06,0,-8.80871e-09
