z,p_rgh,alpha.concrete,nu1
0,-168.134,1,0.00142057
0.00136735,-168.133,1,0.00356574
0.00273469,-168.134,1,0.004958
0.00410204,-168.134,1,0.004958
0.00546939,-168.134,1,0.004958
0.00683673,-168.134,1,0.004958
0.00820408,-168.133,1,0.004958
0.00957143,-168.133,1,0.004958
0.0109388,-168.133,1,0.004958
0.0123061,-168.134,1,0.004958
0.0136735,-168.134,1,0.004958
0.0150408,-168.133,1,0.004958
0.0164082,-168.133,1,0.004958
0.0177755,-168.133,1,0.004958
0.0191429,-168.133,1,0.004958
0.0205102,-168.133,1,0.004958
0.0218776,-168.133,1,0.004958
0.0232449,-168.134,1,0.004958
0.0246122,-168.134,1,0.004958
0.0259796,-168.134,1,0.004958
0.0273469,-168.134,1,0.004958
0.0287143,-168.134,1,0.004958
0.0300816,-168.134,1,0.004958
0.031449,-168.134,1,0.004958
0.0328163,-126.958,0.755102,0.00456368
0.0341837,-41.1757,0.244898,0.00374136
0.035551,3.11257e-05,0,0.00377343
0.0369184,2.99411e-05,0,0.00459581
0.0382857,3.03132e-05,0,0.004958
0.0396531,3.06502e-05,0,0.004958
0.0410204,2.99048e-05,0,0.004958
0.0423878,3.04853e-05,0,0.004958
0.0437551,3.00693e-05,0,0.004958
0.0451224,3.01166e-05,0,0.004958
0.0464898,2.99271e-05,0,0.004958
0.0478571,2.97202e-05,0,0.004958
0.0492245,2.96527e-05,0,0.004958
0.0505918,2.95636e-05,0,0.004958
0.0519592,2.94594e-05,0,0.004958
0.0533265,2.9341e-05,0,0.004958
0.0546939,2.92086e-05,0,0.004958
0.0560612,2.90619e-05,0,0.004958
0.0574286,2.89015e-05,0,0.004958
0.0587959,2.87274e-05,0,0.004958
0.0601633,2.85392e-05,0,0.004958
0.0615306,2.8337e-05,0,0.004958
0.062898,2.8121e-05,0,0.004958
0.0642653,2.78922e-05,0,0.004958
0.0656327,2.76494e-05,0,0.004958
0.067,2.6993e-05,0,0.004958
