# Wall shear stress
# Time        	patch         	min           	max           
0.000000e+00	lowerWall	(-2.109381e+00 0.000000e+00 0.000000e+00)	(-2.109381e+00 0.000000e+00 0.000000e+00)
1.000000e+01	lowerWall	(-1.675984e+00 0.000000e+00 -1.222177e-03)	(-1.666878e+00 0.000000e+00 1.179763e-03)
2.000000e+01	lowerWall	(-1.365665e+00 0.000000e+00 -9.334252e-04)	(-1.359642e+00 0.000000e+00 9.128199e-04)
3.000000e+01	lowerWall	(-1.145882e+00 0.000000e+00 -7.241874e-04)	(-1.141869e+00 0.000000e+00 7.242921e-04)
4.000000e+01	lowerWall	(-9.871310e-01 0.000000e+00 -5.680455e-04)	(-9.839225e-01 0.000000e+00 5.799724e-04)
5.000000e+01	lowerWall	(-8.700918e-01 0.000000e+00 -4.586937e-04)	(-8.672493e-01 0.000000e+00 4.765264e-04)
6.000000e+01	lowerWall	(-7.817121e-01 0.000000e+00 -3.838412e-04)	(-7.790989e-01 0.000000e+00 4.048403e-04)
7.000000e+01	lowerWall	(-7.138330e-01 0.000000e+00 -3.277870e-04)	(-7.109906e-01 0.000000e+00 3.492535e-04)
8.000000e+01	lowerWall	(-6.602283e-01 0.000000e+00 -2.842316e-04)	(-6.571883e-01 0.000000e+00 3.042612e-04)
9.000000e+01	lowerWall	(-6.169163e-01 0.000000e+00 -2.504798e-04)	(-6.137604e-01 0.000000e+00 2.683612e-04)
1.000000e+02	lowerWall	(-5.812219e-01 0.000000e+00 -2.241326e-04)	(-5.780004e-01 0.000000e+00 2.398074e-04)
1.100000e+02	lowerWall	(-5.512732e-01 0.000000e+00 -2.030819e-04)	(-5.480202e-01 0.000000e+00 2.167209e-04)
1.200000e+02	lowerWall	(-5.257403e-01 0.000000e+00 -1.859603e-04)	(-5.224871e-01 0.000000e+00 1.978348e-04)
1.300000e+02	lowerWall	(-5.036636e-01 0.000000e+00 -1.718312e-04)	(-5.004274e-01 0.000000e+00 1.822091e-04)
1.400000e+02	lowerWall	(-4.843391e-01 0.000000e+00 -1.599306e-04)	(-4.811296e-01 0.000000e+00 1.690561e-04)
1.500000e+02	lowerWall	(-4.672421e-01 0.000000e+00 -1.497292e-04)	(-4.640640e-01 0.000000e+00 1.578099e-04)
1.600000e+02	lowerWall	(-4.519747e-01 0.000000e+00 -1.407790e-04)	(-4.488313e-01 0.000000e+00 1.479812e-04)
1.700000e+02	lowerWall	(-4.382307e-01 0.000000e+00 -1.328695e-04)	(-4.351281e-01 0.000000e+00 1.393339e-04)
1.800000e+02	lowerWall	(-4.257705e-01 0.000000e+00 -1.258484e-04)	(-4.227113e-01 0.000000e+00 1.316981e-04)
1.900000e+02	lowerWall	(-4.144044e-01 0.000000e+00 -1.195579e-04)	(-4.113889e-01 0.000000e+00 1.248860e-04)
2.000000e+02	lowerWall	(-4.039797e-01 0.000000e+00 -1.138799e-04)	(-4.010073e-01 0.000000e+00 1.187677e-04)
2.100000e+02	lowerWall	(-3.943722e-01 0.000000e+00 -1.087215e-04)	(-3.914415e-01 0.000000e+00 1.132363e-04)
2.200000e+02	lowerWall	(-3.854797e-01 0.000000e+00 -1.039707e-04)	(-3.825891e-01 0.000000e+00 1.081548e-04)
2.300000e+02	lowerWall	(-3.772171e-01 0.000000e+00 -9.960230e-05)	(-3.743680e-01 0.000000e+00 1.034907e-04)
2.400000e+02	lowerWall	(-3.695132e-01 0.000000e+00 -9.557460e-05)	(-3.667052e-01 0.000000e+00 9.920447e-05)
2.500000e+02	lowerWall	(-3.623074e-01 0.000000e+00 -9.185229e-05)	(-3.595396e-01 0.000000e+00 9.525442e-05)
2.600000e+02	lowerWall	(-3.555482e-01 0.000000e+00 -8.840074e-05)	(-3.528193e-01 0.000000e+00 9.160003e-05)
2.700000e+02	lowerWall	(-3.491911e-01 0.000000e+00 -8.518903e-05)	(-3.464998e-01 0.000000e+00 8.820618e-05)
2.800000e+02	lowerWall	(-3.431977e-01 0.000000e+00 -8.221060e-05)	(-3.405425e-01 0.000000e+00 8.506489e-05)
2.900000e+02	lowerWall	(-3.375348e-01 0.000000e+00 -7.939289e-05)	(-3.349136e-01 0.000000e+00 8.209232e-05)
3.000000e+02	lowerWall	(-3.321730e-01 0.000000e+00 -7.674237e-05)	(-3.295859e-01 0.000000e+00 7.928930e-05)
3.100000e+02	lowerWall	(-3.270866e-01 0.000000e+00 -7.425552e-05)	(-3.245331e-01 0.000000e+00 7.666219e-05)
3.200000e+02	lowerWall	(-3.222528e-01 0.000000e+00 -7.191713e-05)	(-3.197322e-01 0.000000e+00 7.419366e-05)
3.300000e+02	lowerWall	(-3.176516e-01 0.000000e+00 -6.971402e-05)	(-3.151629e-01 0.000000e+00 7.186924e-05)
