z,U_0,U_1,U_2
0,0,0,0
0.000336683,0.00501056,0,3.97575e-11
0.000673367,0.00902618,0,9.93236e-11
0.00101005,0.0120942,0,1.70413e-10
0.00134673,0.0142987,0,2.33116e-10
0.00168342,0.0157937,0,2.78608e-10
0.0020201,0.0167767,0,3.07561e-10
0.00235678,0.0174408,0,3.24698e-10
0.00269347,0.0179462,0,3.35382e-10
0.00303015,0.0183955,0,3.43037e-10
0.00336683,0.0188244,0,3.49362e-10
0.00370352,0.0192367,0,3.55203e-10
0.0040402,0.0196324,0,3.60528e-10
0.00437688,0.0200119,0,3.65345e-10
0.00471357,0.0203753,0,3.69687e-10
0.00505025,0.0207228,0,3.73586e-10
0.00538693,0.0210548,0,3.77072e-10
0.00572362,0.0213715,0,3.80175e-10
0.0060603,0.0216733,0,3.82919e-10
0.00639698,0.0219605,0,3.85332e-10
0.00673367,0.0222334,0,3.87442e-10
0.00707035,0.0224924,0,3.8927e-10
0.00740704,0.022738,0,3.90844e-10
0.00774372,0.0229705,0,3.9219e-10
0.0080804,0.0231903,0,3.93326e-10
0.00841709,0.0233978,0,3.94276e-10
0.00875377,0.0235934,0,3.95063e-10
0.00909045,0.0237777,0,3.95704e-10
0.00942714,0.0239509,0,3.96223e-10
0.00976382,0.0241137,0,3.96638e-10
0.0101005,0.0242663,0,3.96961e-10
0.0104372,0.0244092,0,3.97212e-10
0.0107739,0.0245429,0,3.97408e-10
0.0111106,0.0246678,0,3.97562e-10
0.0114472,0.0247842,0,3.97689e-10
0.0117839,0.0248927,0,3.97801e-10
0.0121206,0.0249936,0,3.97907e-10
0.0124573,0.0250873,0,3.98018e-10
0.012794,0.0251742,0,3.98146e-10
0.0131307,0.0252547,0,3.983e-10
0.0134673,0.0253292,0,3.98489e-10
0.013804,0.0253979,0,3.98717e-10
0.0141407,0.0254614,0,3.98991e-10
0.0144774,0.0255198,0,3.9932e-10
0.0148141,0.0255735,0,3.99709e-10
0.0151508,0.0256228,0,4.00164e-10
0.0154874,0.025668,0,4.00685e-10
0.0158241,0.0257094,0,4.01278e-10
0.0161608,0.0257472,0,4.01947e-10
