z,p_rgh,alpha.concrete,nu1
0,-327.522,1.0217,0.013708
0.00136735,-320.707,1.01108,0.013708
0.00273469,-313.713,1.00018,0.013708
0.00410204,-312.928,0.99893,0.013708
0.00546939,-312.905,0.998958,0.013708
0.00683673,-313.397,0.999835,0.013708
0.00820408,-313.53,1.00006,0.013708
0.00957143,-313.386,0.999794,0.013708
0.0109388,-313.513,1.00008,0.013708
0.0123061,-313.949,1.00099,0.013708
0.0136735,-314.364,1.0019,0.013708
0.0150408,-314.662,1.00259,0.013708
0.0164082,-314.742,1.00281,0.013708
0.0177755,-314.577,1.00246,0.013708
0.0191429,-314.238,1.00165,0.013708
0.0205102,-313.867,1.00073,0.013708
0.0218776,-294.996,0.943059,0.013708
0.0232449,-202.221,0.652144,0.013708
0.0246122,-63.4233,0.206934,0.013708
0.0259796,-0.207814,0.000727509,0.013708
0.0273469,3.93202e-06,2.56691e-12,0.013708
0.0287143,3.74368e-06,1.94009e-12,0.013708
0.0300816,3.6136e-06,8.30558e-13,0.013708
0.031449,3.42021e-06,2.08984e-13,0.013708
0.0328163,3.21247e-06,1.51402e-14,0.013708
0.0341837,3.00599e-06,2.80456e-16,0.013708
0.035551,2.80408e-06,2.44485e-51,0.013708
0.0369184,2.60809e-06,1.01087e-50,0.013708
0.0382857,2.41952e-06,4.84069e-49,0.013708
0.0396531,2.2397e-06,5.30646e-47,0.013708
0.0410204,2.06954e-06,1.49267e-45,0.013708
0.0423878,1.9095e-06,1.60041e-44,0.013708
0.0437551,1.75971e-06,8.9031e-44,0.013708
0.0451224,1.62e-06,3.13346e-43,0.013708
0.0464898,1.49001e-06,7.91827e-43,0.013708
0.0478571,1.36922e-06,1.56252e-42,0.013708
0.0492245,1.25705e-06,2.54761e-42,0.013708
0.0505918,1.15286e-06,3.56874e-42,0.013708
0.0519592,1.05601e-06,4.4244e-42,0.013708
0.0533265,9.65898e-07,4.9822e-42,0.013708
0.0546939,8.81931e-07,5.23429e-42,0.013708
0.0560612,8.03582e-07,5.15181e-42,0.013708
0.0574286,7.30368e-07,4.78616e-42,0.013708
0.0587959,6.6186e-07,4.30896e-42,0.013708
0.0601633,5.97722e-07,3.78365e-42,0.013708
0.0615306,5.37751e-07,3.25066e-42,0.013708
0.062898,4.81533e-07,2.74909e-42,0.013708
0.0642653,4.27276e-07,2.29886e-42,0.013708
0.0656327,3.72261e-07,1.92021e-42,0.013708
0.067,2.59485e-07,1.36039e-42,0.013708
