z,p_rgh,alpha.concrete,nu1
0,-168.079,1,0.004221
0.000676768,-168.078,1,0.00685629
0.00135354,-168.078,1,0.01257
0.0020303,-168.078,1,0.0267397
0.00270707,-168.079,1,0.0629099
0.00338384,-168.079,1,0.147784
0.00406061,-168.08,1,0.305789
0.00473737,-168.081,1,0.494486
0.00541414,-168.082,1,0.58333
0.00609091,-168.083,1,0.58333
0.00676768,-168.083,1,0.58333
0.00744444,-168.084,1,0.58333
0.00812121,-168.085,1,0.58333
0.00879798,-168.086,1,0.58333
0.00947475,-168.088,1,0.58333
0.0101515,-168.088,1,0.58333
0.0108283,-168.089,1,0.58333
0.0115051,-168.09,1,0.58333
0.0121818,-168.092,1,0.58333
0.0128586,-168.092,1,0.58333
0.0135354,-168.094,1,0.58333
0.0142121,-168.095,1,0.58333
0.0148889,-168.096,1,0.58333
0.0155657,-168.097,1,0.58333
0.0162424,-168.098,1,0.58333
0.0169192,-168.1,1,0.58333
0.017596,-168.101,1,0.58333
0.0182727,-168.102,1,0.58333
0.0189495,-168.104,1,0.58333
0.0196263,-168.105,1,0.58333
0.020303,-168.106,1,0.58333
0.0209798,-168.107,1,0.58333
0.0216566,-168.109,1,0.58333
0.0223333,-168.11,1,0.58333
0.0230101,-168.111,1,0.58333
0.0236869,-168.113,1,0.58333
0.0243636,-168.114,1,0.58333
0.0250404,-168.116,1,0.58333
0.0257172,-168.117,1,0.58333
0.0263939,-168.119,1,0.58333
0.0270707,-168.12,1,0.58333
0.0277475,-168.122,1,0.58333
0.0284242,-168.123,1,0.58333
0.029101,-168.124,1,0.58333
0.0297778,-168.126,1,0.58333
0.0304545,-168.127,1,0.58333
0.0311313,-168.129,1,0.58333
0.0318081,-168.13,1,0.58333
0.0324848,-168.132,1,0.58333
0.0331616,-126.524,0.752525,0.440188
0.0338384,-41.6088,0.247475,0.14801
0.0345152,4.3643e-05,0,0.0256511
0.0351919,4.3557e-05,0,0.197219
0.0358687,4.34656e-05,0,0.467743
0.0365455,4.33651e-05,0,0.58333
0.0372222,4.32553e-05,0,0.58333
0.037899,4.3136e-05,0,0.58333
0.0385758,4.3007e-05,0,0.58333
0.0392525,4.28683e-05,0,0.58333
0.0399293,4.272e-05,0,0.58333
0.0406061,4.25621e-05,0,0.58333
0.0412828,4.23945e-05,0,0.58333
0.0419596,4.22173e-05,0,0.58333
0.0426364,4.20303e-05,0,0.58333
0.0433131,4.18337e-05,0,0.58333
0.0439899,4.16273e-05,0,0.58333
0.0446667,4.14111e-05,0,0.58333
0.0453434,4.11851e-05,0,0.58333
0.0460202,4.09493e-05,0,0.58333
0.046697,4.07035e-05,0,0.58333
0.0473737,4.0448e-05,0,0.58333
0.0480505,4.01826e-05,0,0.58333
0.0487273,3.99074e-05,0,0.58333
0.049404,3.96223e-05,0,0.58333
0.0500808,3.93275e-05,0,0.58333
0.0507576,3.90231e-05,0,0.58333
0.0514343,3.87092e-05,0,0.58333
0.0521111,3.83858e-05,0,0.58333
0.0527879,3.80532e-05,0,0.58333
0.0534646,3.77117e-05,0,0.58333
0.0541414,3.73614e-05,0,0.58333
0.0548182,3.70028e-05,0,0.58333
0.0554949,3.66362e-05,0,0.58333
0.0561717,3.62621e-05,0,0.58333
0.0568485,3.58812e-05,0,0.58333
0.0575253,3.54941e-05,0,0.58333
0.058202,3.51016e-05,0,0.58333
0.0588788,3.47046e-05,0,0.58333
0.0595556,3.43041e-05,0,0.58333
0.0602323,3.39013e-05,0,0.58333
0.0609091,3.34976e-05,0,0.58333
0.0615859,3.30942e-05,0,0.58333
0.0622626,3.26928e-05,0,0.58333
0.0629394,3.2295e-05,0,0.58333
0.0636162,3.19024e-05,0,0.58333
0.0642929,3.15165e-05,0,0.58333
0.0649697,3.11384e-05,0,0.58333
0.0656465,3.07691e-05,0,0.58333
0.0663232,3.04086e-05,0,0.58333
0.067,2.88638e-05,0,0.58333
